Access Point,MAC Address,Vendor,Signal Strength,Encryption,Country Id,Mode,Frequency,Width,Band,Bitrates,Info,Adapter,,,,,,,,,,,,,,,,,,,,,,,
TUD-facility,1c:28:af:5b:e5:52,,-82 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,1c:28:af:66:28:12,,-83 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 153 [5.765 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
TUD-facility,1c:28:af:62:11:f2,,-74 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:b2:b2,,-87 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:ed:b2,,-83 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 136 [5.680 GHz] + Ch 132,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations, 1 Stations;en0,,,,,,,
TUD-facility,1c:28:af:5b:fc:92,,-90 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:a8:52,,-91 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:9d:f2,,-82 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,1c:28:af:65:fe:12,,-80 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 140 [5.700 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,
TUD-facility,d0:4d:c6:f2:61:32,,-77 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 136 [5.680 GHz] + Ch 132,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
