Access Point,MAC Address,Vendor,Signal Strength,Encryption,Country Id,Mode,Frequency,Width,Band,Bitrates,Info,Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECT-QPDESKTOP-2LM1S1BmsHX,16:f6:d8:d4:aa:b2,,-89 dBm,WPA2 PSK [CCMP],,Infrastructure & WPS,Ch 149 [5.745 GHz],20 MHz,5.0 GHz,866.5,,,45,36,30,24,18,15,12,9, 6 Mbps;Microsoft, HP ZBook Studio x360 G5, 10.0.22621, DESKTOP-2LM1S1B;en0,,,,,,,,,,,,,,,,,
TUD-facility,1c:28:af:65:f5:d2,,-81 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 48 [5.240 GHz] + Ch 44,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:66:4c:c2,,-69 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:65:f5:c2,,-72 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:65:e9:42,,-67 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:65:fe:12,,-72 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 140 [5.700 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,
TUD-facility,1c:28:af:66:50:12,,-70 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 56 [5.280 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,
TUD-facility,1c:28:af:66:11:d2,,-72 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 157 [5.785 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,
TUD-facility,1c:28:af:66:2a:b2,,-66 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 149 [5.745 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,
TUD-facility,1c:28:af:66:4c:d2,,-75 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 165 [5.825 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,
TUD-facility,1c:28:af:62:11:f2,,-75 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:66:75:72,,-77 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 116 [5.580 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,
TUD-facility,1c:28:af:65:e9:52,,-69 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 161 [5.805 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:4f:d2,,-90 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 40 [5.200 GHz] + Ch 36,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:5b:e5:52,,-82 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:9f:12,,-91 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 40 [5.200 GHz] + Ch 36,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:c5:d2,,-77 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:62:01:d2,,-92 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:b2:b2,,-74 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:f2:12,,-85 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 40 [5.200 GHz] + Ch 36,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f3:09:d2,,n/a,WPA2 PSK [CCMP],NL,Infrastructure,Ch 48 [5.240 GHz] + Ch 44,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:a2:b2,,-84 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 64 [5.320 GHz] + Ch 60,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
